ZIP_CODE,ZIP_GEOID,CSA_CODE,CSA_NAME,ZIP_NAME,TOTAL_POP,POP_DEN,AREA_SQMI,TOP_30,LESS_30_INC,LESS_30_INC_M,LESS_30_RENT,30_60_INC_L,30_60_INC_U,30_60_INC_L_M,30_60_INC_U_M,30_60_RENT,60_90_INC_L,60_90_INC_U,60_90_INC_L_M,60_90_INC_U_M,60_90_RENT,90_120_INC_L,90_120_INC_U,90_120_INC_L_M,90_120_INC_U_M,90_120_RENT,120_150_INC_L,120_150_INC_U,120_150_INC_L_M,120_150_INC_U_M,120_150_RENT,MORE_150_INC,MORE_150_INC_M,MORE_150_RENT
30038,860Z200US30038,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30038,41633,1445,29,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30317,860Z200US30317,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30317,15110,4270,4,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30044,860Z200US30044,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30044,100056,4029,25,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30144,860Z200US30144,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30144,58836,2659,22,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30294,860Z200US30294,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30294,42594,1300,33,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30088,860Z200US30088,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30088,30286,3862,8,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30009,860Z200US30009,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30009,21281,2337,9,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30296,860Z200US30296,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30296,26960,2582,10,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30360,860Z200US30360,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30360,15644,2559,6,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
30189,860Z200US30189,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",ZCTA5 30189,40946,2130,19,1,"$30,000","$2,500",$400,"$30,001","$60,000","$2,501","$5,000","$1,100","$60,001","$90,000","$5,001","$7,500","$1,900","$90,001","$120,000","$7,501","$10,000","$2,600","$120,001","$150,000","$10,001","$12,500","$3,400","$150,001","$12,501","$4,100"
